# Exact Riemann solution for problem: user
# Discretization: zonal
# Domain bounds: [0.00000e+00,1.00000e+00]
# Iterface position: 3.00000e-01
# Gamma: 1.40000e+00
# Left  state [dens,velx,pres]: [1.00000e+00, 2.00000e+00, 3.00000e+00]
# Right state [dens,velx,pres]: [3.00000e+00, 4.00000e+00, 5.00000e+00]
# Time: 0.00000e+00
                x              dens              pres              velx              eint              cspd
  5.000000000e-03   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  3.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  4.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  5.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  6.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  7.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  8.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  9.500000000e-02   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.050000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.150000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.250000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.350000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.450000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.550000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.650000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.750000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.850000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  1.950000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.050000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.150000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.250000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.350000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.450000000e-01   1.000000000e+00   3.000000000e+00   2.000000000e+00   7.500000000e+00   2.049390153e+00
  2.550000000e-01   9.982161281e-01   2.992510412e+00   2.003658461e+00   7.494645517e+00   2.048658461e+00
  2.650000000e-01   9.941622830e-01   2.975510249e+00   2.011991794e+00   7.482456082e+00   2.046991794e+00
  2.750000000e-01   9.901216191e-01   2.958592932e+00   2.020325128e+00   7.470276568e+00   2.045325128e+00
  2.850000000e-01   9.860941042e-01   2.941758126e+00   2.028658461e+00   7.458106974e+00   2.043658461e+00
  2.950000000e-01   9.820797061e-01   2.925005495e+00   2.036991794e+00   7.445947300e+00   2.041991794e+00
  3.050000000e-01   9.780783928e-01   2.908334703e+00   2.045325128e+00   7.433797547e+00   2.040325128e+00
  3.150000000e-01   9.740901323e-01   2.891745418e+00   2.053658461e+00   7.421657715e+00   2.038658461e+00
  3.250000000e-01   9.701148925e-01   2.875237308e+00   2.061991794e+00   7.409527804e+00   2.036991794e+00
  3.350000000e-01   9.661526417e-01   2.858810040e+00   2.070325128e+00   7.397407813e+00   2.035325128e+00
  3.450000000e-01   9.622033479e-01   2.842463285e+00   2.078658461e+00   7.385297743e+00   2.033658461e+00
  3.550000000e-01   9.582669793e-01   2.826196714e+00   2.086991794e+00   7.373197593e+00   2.031991794e+00
  3.650000000e-01   9.543435042e-01   2.810009999e+00   2.095325128e+00   7.361107364e+00   2.030325128e+00
  3.750000000e-01   9.504328909e-01   2.793902812e+00   2.103658461e+00   7.349027056e+00   2.028658461e+00
  3.850000000e-01   9.465351077e-01   2.777874828e+00   2.111991794e+00   7.336956668e+00   2.026991794e+00
  3.950000000e-01   9.426501231e-01   2.761925722e+00   2.120325128e+00   7.324896201e+00   2.025325128e+00
  4.050000000e-01   9.387779055e-01   2.746055171e+00   2.128658461e+00   7.312845655e+00   2.023658461e+00
  4.150000000e-01   9.349184233e-01   2.730262851e+00   2.136991794e+00   7.300805029e+00   2.021991794e+00
  4.250000000e-01   9.310716453e-01   2.714548441e+00   2.145325128e+00   7.288774324e+00   2.020325128e+00
  4.350000000e-01   9.272375399e-01   2.698911620e+00   2.153658461e+00   7.276753540e+00   2.018658461e+00
  4.450000000e-01   9.234160758e-01   2.683352069e+00   2.161991794e+00   7.264742676e+00   2.016991794e+00
  4.550000000e-01   9.196072218e-01   2.667869470e+00   2.170325128e+00   7.252741732e+00   2.015325128e+00
  4.650000000e-01   9.158109466e-01   2.652463505e+00   2.178658461e+00   7.240750710e+00   2.013658461e+00
  4.750000000e-01   9.120272190e-01   2.637133857e+00   2.186991794e+00   7.228769608e+00   2.011991794e+00
  4.850000000e-01   9.082560080e-01   2.621880212e+00   2.195325128e+00   7.216798427e+00   2.010325128e+00
  4.950000000e-01   9.044972824e-01   2.606702255e+00   2.203658461e+00   7.204837166e+00   2.008658461e+00
  5.050000000e-01   9.007510111e-01   2.591599672e+00   2.211991794e+00   7.192885826e+00   2.006991794e+00
  5.150000000e-01   8.970171633e-01   2.576572153e+00   2.220325128e+00   7.180944406e+00   2.005325128e+00
  5.250000000e-01   8.932957080e-01   2.561619384e+00   2.228658461e+00   7.169012908e+00   2.003658461e+00
  5.350000000e-01   8.895866143e-01   2.546741058e+00   2.236991794e+00   7.157091330e+00   2.001991794e+00
  5.450000000e-01   8.858898514e-01   2.531936863e+00   2.245325128e+00   7.145179672e+00   2.000325128e+00
  5.550000000e-01   8.822053885e-01   2.517206493e+00   2.253658461e+00   7.133277935e+00   1.998658461e+00
  5.650000000e-01   8.785331950e-01   2.502549640e+00   2.261991794e+00   7.121386119e+00   1.996991794e+00
  5.750000000e-01   8.748732401e-01   2.487965998e+00   2.270325128e+00   7.109504223e+00   1.995325128e+00
  5.850000000e-01   8.712254932e-01   2.473455262e+00   2.278658461e+00   7.097632248e+00   1.993658461e+00
  5.950000000e-01   8.675899238e-01   2.459017129e+00   2.286991794e+00   7.085770194e+00   1.991991794e+00
  6.050000000e-01   8.639665013e-01   2.444651295e+00   2.295325128e+00   7.073918060e+00   1.990325128e+00
  6.150000000e-01   8.603551953e-01   2.430357458e+00   2.303658461e+00   7.062075847e+00   1.988658461e+00
  6.250000000e-01   8.567559753e-01   2.416135317e+00   2.311991794e+00   7.050243555e+00   1.986991794e+00
  6.350000000e-01   8.531688111e-01   2.401984573e+00   2.320325128e+00   7.038421183e+00   1.985325128e+00
  6.450000000e-01   8.495936723e-01   2.387904927e+00   2.328658461e+00   7.026608732e+00   1.983658461e+00
  6.550000000e-01   8.460305286e-01   2.373896079e+00   2.336991794e+00   7.014806201e+00   1.981991794e+00
  6.650000000e-01   8.424793498e-01   2.359957735e+00   2.345325128e+00   7.003013592e+00   1.980325128e+00
  6.750000000e-01   8.389401058e-01   2.346089597e+00   2.353658461e+00   6.991230902e+00   1.978658461e+00
  6.850000000e-01   8.354127665e-01   2.332291371e+00   2.361991794e+00   6.979458134e+00   1.976991794e+00
  6.950000000e-01   8.318973017e-01   2.318562763e+00   2.370325128e+00   6.967695286e+00   1.975325128e+00
  7.050000000e-01   8.283936816e-01   2.304903480e+00   2.378658461e+00   6.955942358e+00   1.973658461e+00
  7.150000000e-01   8.249018761e-01   2.291313229e+00   2.386991794e+00   6.944199352e+00   1.971991794e+00
  7.250000000e-01   8.214218553e-01   2.277791721e+00   2.395325128e+00   6.932466266e+00   1.970325128e+00
  7.350000000e-01   8.179535894e-01   2.264338664e+00   2.403658461e+00   6.920743100e+00   1.968658461e+00
  7.450000000e-01   8.144970486e-01   2.250953770e+00   2.411991794e+00   6.909029855e+00   1.966991794e+00
  7.550000000e-01   8.110522030e-01   2.237636751e+00   2.420325128e+00   6.897326531e+00   1.965325128e+00
  7.650000000e-01   8.076190231e-01   2.224387320e+00   2.428658461e+00   6.885633128e+00   1.963658461e+00
  7.750000000e-01   8.041974792e-01   2.211205191e+00   2.436991794e+00   6.873949645e+00   1.961991794e+00
  7.850000000e-01   8.007875416e-01   2.198090078e+00   2.445325128e+00   6.862276082e+00   1.960325128e+00
  7.950000000e-01   7.973891809e-01   2.185041697e+00   2.453658461e+00   6.850612441e+00   1.958658461e+00
  8.050000000e-01   7.940023674e-01   2.172059766e+00   2.461991794e+00   6.838958720e+00   1.956991794e+00
  8.150000000e-01   7.906270718e-01   2.159144001e+00   2.470325128e+00   6.827314919e+00   1.955325128e+00
  8.250000000e-01   7.872632646e-01   2.146294122e+00   2.478658461e+00   6.815681040e+00   1.953658461e+00
